"Org Seq","Organization","Pos Seq","Position","Ldrshp","Indiv ID","Indiv Name","Sustained","Set Apart",
"42","Laurel","2","Laurel President","Yes","390","Stewart, Doe","Mar 2013","Yes",
"42","Laurel","3","Laurel First Counselor","Yes","","","","No",
"42","Laurel","4","Laurel Second Counselor","Yes","","","","No",
"42","Laurel","5","Laurel Secretary","Yes","","","","No",
"43","Mia Maid","1","Mia Maid President","Yes","2048","Doe, Gabriella","Mar 2013","Yes",
"43","Mia Maid","2","Mia Maid First Counselor","Yes","101","Doe, Rebecca","Mar 2013","Yes",
"43","Mia Maid","3","Mia Maid Second Counselor","Yes","609","Doe, Kallie","Mar 2013","Yes",
"43","Mia Maid","4","Mia Maid Secretary","Yes","","","","No",
"44","Beehive","1","Beehive President","Yes","","","","No",
"44","Beehive","2","Beehive First Counselor","Yes","138","Doe, Summer","Oct 2012","Yes",
"44","Beehive","3","Beehive Second Counselor","Yes","568","Doe, Julie","Oct 2012","Yes",
"44","Beehive","4","Beehive Secretary","Yes","1667","Doe, Emma-Lee Jo","Feb 2011","Yes",
"7","Sunday School","1","Librarian","No","286","Doe, Liliana","Jun 2012","Yes",
"7","Sunday School","2","Teacher - Gospel Doctrine","No","500","Doe, Stuart","Mar 2011","No",
"7","Sunday School","3","Teacher - Gospel Doctrine","No","1745","Doe, Sherlynn","Sep 2012","Yes",
"7","Sunday School","4","Teacher - Gospel Doctrine","No","135","Doe, Derek","Mar 2011","No",
"7","Sunday School","5","Teacher - Gospel Doctrine","No","1394","Dow, Shannon","Sep 2012","Yes",
"7","Sunday School","6","Teacher - Gospel Doctrine","No","1881","Dow, Shelley","Jan 2012","Yes",
"7","Sunday School","7","Teacher - Gospel Principles","No","2027","Dow, Jarom","May 2013","Yes",
"7","Sunday School","8","Sunday School Teacher - Course 17","No","1366","Doe, Anne Elizabeth","Jun 2013","Yes",
"7","Sunday School","9","Sunday School Teacher - Course 16","No","1059","Doe, Chad","Jun 2013","Yes",
"7","Sunday School","10","Sunday School Teacher - Course 15","No","2176","Doe, Carrie","Aug 2013","No",
"7","Sunday School","11","Sunday School Teacher - Course 14","No","2175","Doe, Chris","Aug 2013","No",
"7","Sunday School","12","Sunday School Teacher - Course 12","No","100","Doe, Anna","Oct 2013","Yes",
"7","Sunday School","13","Sunday School Teacher - Course 12","No","","","","No",
"7","Sunday School","14","Sunday School Teacher - Course 12","No","","","","No",
"7","Sunday School","15","Sunday School Teacher - Course 12","No","495","Doe, Lynette","Feb 2013","Yes",
"7","Sunday School","16","Gospel Esstentials Teacher","No","","","","No",
"7","Sunday School","17","Gospel Esstentials Teacher","No","","","","No",
"7","Sunday School","18","Family Relations","No","","","","No",
"7","Sunday School","19","Sunday School President","Yes","","","","No",
"7","Sunday School","20","Sunday School First Counselor","Yes","1864","Doe, Kevin","Jan 2013","No",
"7","Sunday School","21","Sunday School Second Counselor","Yes","585","Doe, Rodger","Jan 2013","No",
"7","Sunday School","22","Sunday School Secretary","Yes","585","Doe, Rodger","May 2012","Yes",
"9","Primary","1","Primary Activity Days Leader","No","1104","Dow, Karlyn","Sep 2011","No",
"9","Primary","2","Primary Activity Days Leader","No","2006","Doe, Megan Erin","Jun 2013","No",
"9","Primary","3","Eleven-Year-Old Scout Leader","No","42","Doe, Alan","Oct 2012","No",
"9","Primary","4","Eleven-Year-Old Scout Leader","No","1350","Doe, Art","Oct 2012","No",
"9","Primary","5","Webelos Leader","No","202","Doe, Lisa","Aug 2013","No",
"9","Primary","6","Cub Scout Committee Chairman","No","1615","Doe, Jennifer","Apr 2010","Yes",
"9","Primary","7","Primary Teacher - Valiant 10","No","60","dow, Dianne","Sep 2012","Yes",
"9","Primary","8","Primary Teacher - Valiant 10","No","59","Dow, Wallace","Sep 2012","Yes",
"9","Primary","9","Primary Teacher - Valiant 9","No","","","","No",
"9","Primary","10","Primary Teacher - Valiant 8","No","1712","Doe, Jenelle","Apr 2013","No",
"9","Primary","11","Primary Teacher - Valiant 8","No","1743","Doe, Rachel Eva","Apr 2013","No",
"9","Primary","12","Primary Teacher - CTR 6","No","","","","No",
"9","Primary","13","Primary Teacher - CTR 6","No","","","","No",
"9","Primary","14","Primary Teacher - CTR 4","No","1621","Dow, Landon","Jun 2013","Yes",
"9","Primary","15","Primary Teacher - CTR 4","No","1622","Doe, Emily Sue","Jun 2013","Yes",
"9","Primary","16","Primary Teacher - Sunbeam","No","","","","No",
"9","Primary","17","Primary Teacher - Sunbeam","No","","","","No",
"9","Primary","18","Primary Teacher - Sunbeam","No","2123","Doe, Kari Lorene","Apr 2013","No",
"9","Primary","19","Primary Teacher - Sunbeam","No","2122","Dow, Josh","Apr 2013","No",
"9","Primary","20","Nursery Leader","No","529","Doe, Garlin","Aug 2010","Yes",
"9","Primary","21","Nursery Leader","No","2118","dow, Emily","Apr 2013","No",
"9","Primary","22","Nursery Leader","No","2117","Dow, Jordan Dutch","Apr 2013","No",
"9","Primary","23","Nursery Leader - Pre-Nursery","No","76","Doe, Richard","Aug 2010","Yes",
"9","Primary","24","Wolf Den Leader","No","2016","Doe, Jesica","May 2013","Yes",
"9","Primary","25","Wolf Den Leader","No","534","Doe, Misti","Sep 2010","Yes",
"9","Primary","26","Bear Den Leader","No","567","Doe, Alisa","Jan 2012","Yes",
"9","Primary","27","Bear Den Leader","No","566","Doe, Steven","Jan 2012","Yes",
"9","Primary","28","Webelos Assistant Leader","No","389","Doe, Lisa","Aug 2013","No",
"9","Primary","29","Primary Activity Days Assistant Leader","No","1491","Doe, Melissa","Aug 2013","No",
"9","Primary","30","Substitute Teacher","No","","","","No",
"9","Primary","31","Substitute Teacher","No","","","","No",
"9","Primary","32","Primary President","Yes","1356","Doe, Heather","Jun 2012","Yes",
"9","Primary","33","Primary First Counselor","Yes","586","Doe, Julie","Jun 2012","Yes",
"9","Primary","34","Primary Teacher - Valiant 11","No","389","Doe, Lisa","Jan 2010","Yes",
"9","Primary","35","Primary Second Counselor","Yes","1220","Doe, Misty","Jun 2012","Yes",
"9","Primary","36","Primary Teacher - Valiant 11","No","1346","Doe, Erin","Aug 2013","Yes",
"9","Primary","37","Primary Secretary","Yes","1547","Doe, Ashlie","Jun 2012","Yes",
"9","Primary","38","Primary Teacher - Valiant 9","No","1791","Doe, Kimberly","Mar 2011","Yes",
"9","Primary","39","Primary Teacher - CTR 7","No","1752","Doe, Jan","Jan 2010","Yes",
"9","Primary","40","Primary Teacher - CTR 7","No","1751","Doe, Michael","Jan 2010","Yes",
"9","Primary","41","Primary Teacher - CTR 5","No","2143","Doe, Nathan","Aug 2013","No",
"9","Primary","42","Primary Teacher - CTR 5","No","2144","Doe, Suzy","Aug 2013","No",
"9","Primary","43","Nursery Leader","No","1983","Doe, Michelle","Jul 2012","Yes",
"9","Primary","44","Nursery Leader","No","1980","Doe, Robbie","Jul 2012","Yes",
"9","Primary","45","Cubmaster","No","1565","Doe, Marie","Aug 2010","Yes",
"9","Primary","46","Primary Music Leader","No","1685","Doe, Elizabeth","Jul 2013","No",
"9","Primary","47","Primary Pianist","No","810","Doe, Carol","Apr 2009","Yes",
"10","Other Callings","1","District Website Administrator","No","","","","No",
"10","Other Callings","2","History Specialist","No","1469","Doe, Rosemarie","Jul 2012","Yes",
"10","Other Callings","3","Ward Music Chair","No","","","","No",
"10","Other Callings","4","Assistant Camp Director","No","","","","No",
"10","Other Callings","5","Assistant Funeral Chair","No","","","","No",
"10","Other Callings","6","Ward Organist","No","","","","No",
"10","Other Callings","7","Ward Organist","No","","","","No",
"10","Other Callings","8","Welfare Services Coordinator","No","","","","No",
"10","Other Callings","9","Singles Representative","No","","","","No",
"10","Other Callings","10","Ward Newsletter Coordinator","No","1685","Doe, Elizabeth","Mar 2013","Yes",
"10","Other Callings","11","Stake Presidency","No","1678","Doe, Curt","Dec 2009","Yes",
"10","Other Callings","12","Stake Family History","No","","","","No",
"10","Other Callings","13","Full-time Missionary","No","","","","No",
"10","Other Callings","14","Full-time Missionary","No","","","","No",
"10","Other Callings","15","Stake High Council","No","","","","No",
"10","Other Callings","16","Stake Girls Camp Committee","No","43","Doe, Robinne","Dec 2002","No",
"10","Other Callings","17","Stake Relief Society Secretary","No","","","Jan 2008","No",
"10","Other Callings","18","Stake Executive Secretary","No","1678","Doe, Curt Monte","Aug 2010","Yes",
"10","Other Callings","19","Sacrament Program Chair","No","389","Doe, Lisa","Nov 1998","Yes",
"10","Other Callings","20","Emergency Preaparedness Chair","No","305","Ore, Pete","Aug 2008","Yes",
"10","Other Callings","21","Singles Ward Counselor","No","140","Doe, Eugene","Jan 2011","Yes",
"10","Other Callings","22","Building Lockup","No","2142","Doe, James","Sep 2013","No",
"58","Scouting","1","Scoutmaster","No","1393","Die, Tyler","Sep 2012","Yes",
"58","Scouting","2","Scoutmaster","No","","","","No",
"58","Scouting","3","Assistant Scoutmaster","No","1393","ORE, Tyler","Apr 2012","No",
"58","Scouting","4","Assistant Scoutmaster","No","1393","Doe, Tyler","Apr 2012","Yes",
"58","Scouting","5","Scouting Committee Chairman","No","780","Doe, Stephen","Oct 2009","No",
"58","Scouting","6","Venturing Crew Adviser","No","","","","No",
"58","Scouting","7","Scouting Committee Member","No","555","Doe, Aaron","Jun 2010","Yes",
